day,labels,labels
2020-03-25,-1,5
2020-03-25,0,1
2020-03-26,1,1
2020-03-29,-1,38
2020-03-29,0,20
2020-03-29,1,18
2020-03-30,-1,11
2020-03-30,1,11
2020-03-30,0,1
2020-03-31,-1,32
2020-03-31,1,16
2020-03-31,0,10
2020-04-01,-1,86
2020-04-01,1,42
2020-04-01,0,21
2020-04-02,-1,105
2020-04-02,0,44
2020-04-02,1,40
2020-04-03,-1,157
2020-04-03,1,68
2020-04-03,0,67
2020-04-04,-1,147
2020-04-04,0,78
2020-04-04,1,75
2020-04-05,-1,9
2020-04-05,0,4
2020-04-05,1,3
2020-04-06,-1,80
2020-04-06,1,59
2020-04-06,0,54
2020-04-07,-1,129
2020-04-07,1,84
2020-04-07,0,76
2020-04-08,1,94
2020-04-08,-1,82
2020-04-08,0,39
2020-04-09,-1,125
2020-04-09,1,101
2020-04-09,0,78
2020-04-10,-1,100
2020-04-10,0,60
2020-04-10,1,59
2020-04-11,-1,97
2020-04-11,1,90
2020-04-11,0,54
2020-04-12,-1,163
2020-04-12,0,93
2020-04-12,1,87
2020-04-13,-1,139
2020-04-13,1,89
2020-04-13,0,79
2020-04-14,1,111
2020-04-14,-1,108
2020-04-14,0,70
2020-04-15,-1,152
2020-04-15,1,94
2020-04-15,0,83
2020-04-16,-1,188
2020-04-16,0,113
2020-04-16,1,92
2020-04-17,-1,143
2020-04-17,1,98
2020-04-17,0,97
